Autor,ML o DL,Algoritmo Nombre,Algoritmo,Arquitectura,Pais de estudio,Región de estudio,Fuente de datos,Nombre Metrica,Metrica de evaluacion,Repositorio,Source Category,Source type,Product,Feature name,Temporal res.,Spatial res.,Output deseado,Link repository
,,,,,,,,,,,Remote sensing,Remote sensing,MCD43A3.061,NIR Black Sky Albedo (BSA_NIR),16-Day,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD43A3.061,Shortwave broadband Black Sky Albedo (BSA_s),16-Day,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD43A3.061,NIR White Sky Albedo (WSA_NIR),16-Day,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD43A3.061,Shortwave broadband White Sky Albedo (WSA_s),16-Day,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD12Q1.061,Land Cover IGBP classification (LC1),Yearly,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD12Q1.061,Land Cover UMD classification (LC2),Yearly,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD12Q1.061,Land Cover LAI classification (LC3),Yearly,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD12Q1.061,Land Cover BGC classification (LC4),Yearly,500 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MCD12Q1.061,Land Cover Plant Functional Types classification (LC5),Yearly,500 m,,
,,,,,,,,,,,Remote sensing,,AW3D30 v3.2,Digital surface model elevation (Elev),-,30 m,,
,,,,,,,,,,,Remote sensing,,AW3D30 v3.2,Digital surface model Slope (Slope),-,30 m,,
,,,,,,,,,,,Remote sensing,,AW3D30 v3.2,Digital surface model Aspect (Aspect),-,30 m,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Northward component of the 10 m wind (Wind_v),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Eastward component of the 10 m wind (Wind_u),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Atmosphere pressure on surface (Pressure),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Total amount of accumulated runoff (Runoff),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Total amount of accumulated evaporated water (Evap),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Total amount of accumulated snowfall (Snowfall),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Total amount of accumulated melting snow (Snowmelt),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Instantaneous snow thickness (Snow_thickness),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Instantaneous snow density (Snow_density),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,Instantaneous snow cover (Snow_cover),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,2 m Dew point temperature (Dewpoint_2m),Daily,11 km,,
,,,,,,,,,,,Remote sensing,Reanalysis data,ERA5-Land,2 m air temperature (Temp_2m),Daily,11 km,Forest fire probabillity ,
Ahn et al - 2024,ML(DL),Random Forest,RF,No,South Korea,South Korea,Medium to large-scale forest fires 2010-2019 Korean Forest Service,Auc,AUC,No,Meteorological,Climate,,Max. temperature of the warmest month | ◦C,,,,
,,Maximum Entropy (MaxEnt),MAXENT,,,,,,,,Meteorological,Climate,,Min. temperature of the coldest month | ◦C,,,,
,,Generalized Boosting Model,GBM,,,,,,,,Meteorological,Climate,,Precipitation of the driest month | mm,,,,
,,Artificial Neural Network,ANN,,,,,,,,Meteorological,Climate,,Max. windspeed | m/s,,,,
,,Classification Tree Analysis,CTA,,,,,,,,Meteorological,Climate,,Relative humidity during spring | %,,,,
,,Flexible Discrminant Analysis,FDA,,,,,,,,Topographic,Topographic,,Elevation | m,,,,
,,Multivariate Adaptive Regression Splines,MAR,,,,,,,,Topographic,Topographic,,Topographic wetness index | -,,,,
,,Generalized Linear Model,GLM,,,,,,,,Topographic,Topographic,,Aspect | -,,,,
,,,,,,,,,,,Socio-economic,Socio-economic,,Distance from urban area | m,,,,
,,,,,,,,,,,Socio-economic,Socio-economic,,Population density | People per km²,,,,
,,,,,,,,,,,Topographic,Environment,,Forest type | -,,,,
Bian et al - 2024,Machine Learning,Logistic Regression (LR),LR,No,China,"Zhejiang Province, China",MODIS Fire Product MYD14A2 from 2013 to 2023,Accuracy,ACC,No,Remote sensing,,MOD13Q1,NDVI,,1km,Forest fire risk prediction maps for Zhejiang Province,No
,,Random Forest (RF),RF,,,,,Precision,Precision,,Meteorological,climatic,e Resource and Environmental Science Data Platform,precipitation,,1km,,
,,eXtreme Gradient Boosting (XGBoost),XGBoost,,,,,Recall,Recall,,Meteorological,,e Resource and Environmental Science Data Platform,relative humidity,,1km,,
,,,,,,,,F1-score,F1,,Meteorological,,e Resource and Environmental Science Data Platform,temperature,,1km,,
,,,,,,,,AUC,AUC,,Meteorological,,e Resource and Environmental Science Data Platform,sunshine duration,,1km,,
,,,,,,,,,,,Meteorological,,e Resource and Environmental Science Data Platform,land surface temperature,,1km,,
,,,,,,,,,,,Topographic,,GlobeLand30,Land Use,,30m,,
,,,,,,,,,,,Topographic,,GlobeLand31,Land Cover Change,,30m,,
,,,,,,,,,,,Topographic,,Advanced Spaceborne Thermal Emission and Reflection (ASTER),Digital Elevation Model,,30m,,
Cao et al - 2024 ,DL,Transformer,Transformer,No,China,"Quanzhou County, Guilin City, Guangxi Province, China","Historical fire data from April to September 2021-2022, with a total of 30 fires",RMSE,RMSE,No,Meteorological,,CIMISS,Temperature,,-,"Forest fire danger level prediction maps for Quanzhou County, classified into five danger levels",
,,,,,,,,MAE,MAE,,Meteorological,,CIMISS,Atmospheric pressure,,-,,
,,,,,,,,MAPE,MAPE,,Meteorological,,CIMISS,Relative humidity,,-,,
,,,,,,,,ACC,ACC,,Meteorological,,CIMISS,Wind speed,,-,,
,,,,,,,,,,,Meteorological,,CIMISS,Rainfall,,-,,
,,,,,,,,,,,Remote sensing,,MODIS,Vegetation coverage,,-,,
,,,,,,,,,,,Remote sensing,,MODIS,NDVI,,500 m,,
,,,,,,,,,,,Topographic,,Landsat,Moisture content,,30 m,,
,,,,,,,,,,,Topographic,,Landsat,Ignitability,,30 m,,
,,,,,,,,,,,Topographic,,Landsat,Slope,,30 m,,
,,,,,,,,,,,Topographic,,Landsat,Aspect,,30 m,,
,,,,,,,,,,,Socio-economic,,DSNLV,Distance to railway,,"1:250,000 km",,
,,,,,,,,,,,Socio-economic,,DSNLV,Distance to road,,"1:250,000 km",,
,,,,,,,,,,,Socio-economic,,DSNLV,Distance to river,,"1:250,000 km",,
Chen et al - 2024,DL,AutoST-Net,AutoST-Net,No,China,"Sichuan and Yunnan Provinces, China",China Statistical Yearbook between 2016-2021,Mean Intersection over Union (MIOU),MIOU,No,Topographic,,Copernicus DEM GLO-30 dataset,DEM,-,30 m,Forest fire spread prediction images,No
,,,,,,,,F1-score,F1,,Topographic,,Keetch–Byram Drought Index (KBDI),Drought,1 day,4 km,,
,,,,,,,,,,,Topographic,,NCEP Climate Forecast System,Geopotential Height,6 h,22 km,,
,,,,,,,,,,,Meteorological,,GLDAS-2.1 dataset,"Humidity, Soil Humidity",3 h,27 km,,
,,,,,,,,,,,Meteorological,,ERA5-Land dataset,"Temperature, vwind, uwind",1 h,11 km,,
,,,,,,,,,,,Meteorological,,GSMaP dataset,Precipitation,1 h,11 km,,
,,,,,,,,,,,Remote sensing,,MODIS Terra Daily NDVI dataset,NDVI,1 day,0.4 km,,
,,,,,,,,,,,Remote sensing,,Himawari-8 NetCDF data,Fire,10 min,2 km,,
Choi et al - 2024 ,ML,Multi-Model Ensemble (MME),MME,No,South Korea,"Gangwon province, South Korea","Forest fire occurrence data from 1991 to 2022, provided by the Korea Forest Service",Accuracy,ACC,No,Socio-economic,Forest fire data,Korea Forest Service (KFS),Forest fire occurrence,,,Monthly forest fire occurrence predictions,
,,,,,,,,F1-score,F1,,Meteorological,Meteorological data,Korea Meteorological Administration (KMA),Wind speed,,,,
,,,,,,,,,,,Meteorological,Meteorological data,Korea Meteorological Administration (KMA),Temperature,,,,
,,,,,,,,,,,Meteorological,Meteorological data,Korea Meteorological Administration (KMA),Relative humidity,,,,
,,,,,,,,,,,Meteorological,Meteorological data,Korea Meteorological Administration (KMA),Dew point temperature,,,,
,,,,,,,,,,,Meteorological,Meteorological data,Korea Meteorological Administration (KMA),Precipitation,,,,
,,,,,,,,,,,Meteorological,Proxy variables,,Fine fuel moisture code,,,,
,,,,,,,,,,,Meteorological,Proxy variables,,Effective humidity,,,,
,,,,,,,,,,,Meteorological,Proxy variables,,No precipitation days,,,,
da Rocha Mirando et al - 2024,ML(DL),Random Forest,RF,No,Brazil,"Uruçuí-Una Ecological Station (ESECUUNA) and a 50km buffer zone around it, located in the southwest quadrant of Piauí, in the Cerrado region of Brazil",MCD64A1,Mean Absolute Error (MAE),MAE,No,Meteorological,,MOD11A1,Temperature,1000m,Daily,Daily burn rate estimations for fire foci,
,,Multilayer Perceptron,Multilayer Perceptron,,,,,Mean Squared Error (MSE),MSE,,Meteorological,,MOD16A2,Evapotranspiration,500m,Daily,,
,,SVM,SVM,,,,,,,,Meteorological,,CHIRPS,Precipitation,500m,Daily,,
,,,,,,,,,,,Meteorological,,Terra Climate,Water Balance,4000m,Monthly,,
,,,,,,,,,,,Meteorological,,Terra Climate,Wind Speed,4000m,Monthly,,
Dastour et al - 2024,ML,Cellular Automata,CA,No,Canada,"Alberta, Canada","2011 Slave Lake wildfire (May 15-22, 2011)",Precision,Precision,No,Remote sensing,,MOD11A2,MODIS LST-Day,1km,,Simulation of wildfire spread,
,,,,,,,"2016 Fort McMurray wildfire (April 30 - June 1, 2016) [First 16 days used in the study]",Recall,Recall,,Remote sensing,,MOD11A2,MODIS LST-Nigh,1km,,Burned and unburned pixel classification,
,,,,,,,,F1-score,F1,,Remote sensing,,MCD12Q1, MODIS Land Cover Type-1,500m,,,
,,,,,,,,Overall accuracy,OA,,Remote sensing,,MCD64A1,MODIS Burned Area Monthly Global,500m,,,
Dong et al - 2024,DL,Encoder-decoder,Encoder-decoder,No,USA,"California, United States",California wildfire spread dataset covering information since 2017,Mean Squared Error (MSE),MSE,Si,Remote sensing,,MOD14A1,Thermal Anomalies and Fire Daily,1km,7 days,Fire Radiative Power (FRP) predictions,github.com/dazhaxie666/FRP_Prediction.
,,3-D CNN,3-D CNN,,,,,Peak Signal-to-Noise Ratio (PSNR),PSNR,,Remote sensing,,MYD14A1,Thermal Anomalies and Fire Daily,1km,8 days,,
,,I3-D,I3-D,,,,,Structural Similarity Index (SSIM),SSIM,,Remote sensing,,GOES-16,Hot Spot Characterization,,,,
,,ConvLSTM,ConvLSTM,,,,,,,,Meteorological,,GRIDMET,Gridded Surface Meteorological,,,,
,,,,,,,,,,,Meteorological,,,Shuttle Radar Topography Mission,,,,
,,,,,,,,,,,Topographic,,MCD12Q1,Land Cover Type product,,,,
,,,,,,,,,,,Remote sensing,,VNP13A1,NDVI and EVI,,,,
,,,,,,,,,,,Socio-economic,,GPWv4,Gridded Population of World,,,,
Fang et al - 2024 ,DL,Dual Backbone Interaction Network (DBINet),DBINet,ResNet50  as the main encoder,USA,"California, USA",LC8BAS,F-measure (Fβ),Fβ,No,Remote sensing,,Sentinel-2: SWIR false color image,,,,Burned area segmentation maps,https://github.com/Voruarn/DBINet
,,Combines CNN and Transformer,CNN ,PVT-tiny (Pyramid ViT)  as the auxiliary encoder,,,2019 Black Summer Bushfire Burned Area dataset,Mean Absolute Error (MAE),MAE,,Remote sensing,,Landsat8,,,,,
,,Key Modules:,,,,,EORSSD,S-measure (Sm),Sm,,,,,,,,,
,,Dual-feature fusion module (DFM),,,,,,,,,,,,,,,,
,,Convertor,,,,,,,,,,,,,,,,
,,Decoder with multilevel feature aggregation and self-refining,Decoder ,,,,,,,,,,,,,,Peatland fire vulnerability prediction map,
Fauziah et al - 2024,ML,RF,RF,No,Indonesia,"Bengkalis Regency, Riau Province, Indonesia",Burn area data from MODIS for the year 2019,Area Under the Receiver Operating Characteristic Curve (AUC),AUC,No,Remote sensing,,MODIS,Burn area,500m,,"Three vulnerability levels: not vulnerable, low vulnerability, high vulnerability",
,,Log-Reg,Log-Reg,,,,,Accuracy,ACC,,Meteorological,,CHIRPS,rainfall,,Monthly,,
,,,,,,,,,,,Meteorological,,,Humidity index,,,,
Freitas et al - 2024 ,ML,,RF,,Brazil,"Triunfo do Xingu Environmental Protection Area, Pará, Brazil",Wildfire Program,Mean Absolute Error (MAE),MAE,No,Topographic,Topographic,Google Eearth Engine,Elevation,30m,,Forest fire susceptibility map,
,,,XGBoost,,,,,Root Mean Square Error (RMSE),RMSE,,Topographic,,Google Eearth Engine,Slope,30m,,,
,,,,,,,,Coefficient of Determination (R²),R²,,Topographic,,Google Eearth Engine,Aspect,30m,,,
,,,,,,,,,,,Topographic,,Google Eearth Engine,Topographic Wetness Index,30m,,,
,,,,,,,,,,,Socio economic,Socioeconomics,Brazilian Institute for Geography and Statistics,Distance from roads,,,,
,,,,,,,,,,,Socio economic,,Brazilian Institute for Geography and Statistics,Distance from Inhabited areas,,,,
,,,,,,,,,,,Topographic,Environmental,MOD44B,Vegetation Continuous Fields,250m,,,
,,,,,,,,,,,Meteorological,,CHIRPS,Temperature,"0,05°",,,
,,,,,,,,,,,Meteorological,,CHIRPS,Precipitation,"0,05°",,,
,,,,,,,,,,,Remote sensing,,Landsat,Normalized Difference Vegetation Index,30m,,,
,,,,,,,,,,,Topographic,,MapBiomas,Land Use and Cover,30m,,,
Ghibeche et al  - 2024,ML,K-Nearest Neighbors (KNN),KNN,No,Algeria,Northern Algeria,Fire data from the Fire Information System for Resource Management (FIRMS),Accuracy,ACC,No,Remote sensing,,,Center of 1km fire pixel,,,Forest fire prediction system (web platform),
,,Decision Tree,DT,,,,MCD64A1,,,,Remote sensing,,,Center of 1km fire pixel,,,,
,,Random Forest,RF,,,,,,,,Remote sensing,,,Date of the fire,,,,
,,,,,,,,,,,Meteorological,,,Temperature at 2 Meters Range,,,,
,,,,,,,,,,,Meteorological,,,Earth Skin Temperature,,,,
,,,,,,,,,,,Meteorological,,,Dew/Frost Point at 2 Meters,,,,
,,,,,,,,,,,Meteorological,,,Wet Bulb Temperature at 2 Meters,,,,
,,,,,,,,,,,Meteorological,,,Temperature at 2 Meters Maximum,,,,
,,,,,,,,,,,Meteorological,,,Temperature at 2 Meters Minimum,,,,
,,,,,,,,,,,Meteorological,,,Temperature at 2 Meters,,,,
,,,,,,,,,,,Meteorological,,,Specific Humidity at 2 Meters,,,,
,,,,,,,,,,,Meteorological,,,Relative Humidity at 2 Meters,,,,
,,,,,,,,,,,Meteorological,,,Precipitation Corrected,,,,
,,,,,,,,,,,Meteorological,,,Surface Pressure,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 10 Meters,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 10 Meters Maximum,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 10 Meters Minimum,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 10 Meters Range,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 50 Meters,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 50 Meters Maximum,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 50 Meters Minimum,,,,
,,,,,,,,,,,Meteorological,,,Wind Speed at 50 Meters Range,,,,
Goltas et al  2024 ,ML,Maximum Entropy (MaxEnt),MAXENT,No,Turkey,Muğla Regional Directorate of Forestry (RDF) in southwest Turkey,"2,743 forest fire locations during fire seasons from 2008 to 2018",Area Under the Receiver Operating Characteristic Curve (AUC),AUC,No,Topographic,,,Species composition maps,,,Monthly fire probability maps,
,,,,,,,,,,,Topographic,,DEM,Aspect,,,,
,,,,,,,,,,,Meteorological,,CRU-TS 4.06 dataset, maximum temperatures,monthly,1-km,,
,,,,,,,,,,,Meteorological,,CRU-TS 4.06 dataset,Precipitation,monthly,1-km,,
,,,,,,,,,,,Meteorological,,CRU-TS 4.06 dataset, solar radiation,monthly,,,
Goncalves et al - 2024 ,DL,Dual-Channel CNN,CNN,VGG16 pre-trained on ImageNet,Portugal,Continental Portugal,CICLOPE cameras,Accuracy rate (Acc),ACC,No,,,,,,,Improved wildfire smoke detection accuracy and specificity,
,,,,,,,CasteloBranco_TP: 538 images of true wildfire smoke alarms,Precision (Prec),PREC,,,,,,,,,
,,,,,,,Leiria_FP_fields&forest: 718 images of false fire alarms (fields and forest),Recall (Rec),REC,,,,,,,,,
,,,,,,,Leiria_FP_clouds&fog: 3231 images of false fire alarms (clouds and fog),F1-Score (F1),F1,,,,,,,,,
,,,,,,,Fires_2020_Gnd: 4504 images of true fire alarms,False Alarm Rate (FAR),FAR,,,,,,,,,
,,,,,,,,Area Under the Curve (AUC),AUC,,,,,,,,,
Guo et al - 2024 ,DL,Convolutional Neural Network (CNN),CNN,No,China ,"Central China (Heilongjiang, Jilin, Shanxi, Henan, Anhui, Hubei, Jiangxi, and Hunan provinces)",Fire occurrence records from January 2001 to December 2019.,Accuracy,ACC,No,Topograhic,Topographic,,Slope,,1 km,Predictive model for forest fire occurrences,
,,,,,,,MODIS,Precision,PREC,,Topograhic,Climate,,Elevation,,2 km,Seasonal zoning maps for forest fire occurrences,
,,,,,,,,Recall,REC,,Topograhic,Vegetation,,Slope direction,,3 km,,
,,,,,,,,F1 score,F1,,Meteorological,Social and human factors,,Average daily surface temperature,,"1:100,000, 1:100,000, 1 km, 1 km",,
,,,,,,,,AUC (Area Under the Curve),AUC,,Meteorological,,,Average daily relative humidity,,,,
,,,,,,,,,,,Meteorological,,,Daily maximum surface temperature,,,,
,,,,,,,,,,,Topograhic,,,Vegetation types,,,,
,,,,,,,,,,,Socio economic,,,Distance from road,,"1:100,000",,
,,,,,,,,,,,Socio economic,,,Distance from residential area,,"1:100,000",,
,,,,,,,,,,,Socio economic,,,Gross Domestic Product,,1 km,,
,,,,,,,,,,,Socio economic,,,Population,,1 km,,
Gupta et al - 2024 ,DL,U-Net,U-Net,No,USA,"San Bernardino County, California, USA",USDA WHP map,Accuracy,ACC,No,Socio economic,,,Landfire mean return,Annual,270 m,Wildfire risk prediction map,
,,DeepLabV3,DeepLabV3,,,,,F1-score,F1,,Meteorological,,,precipitation,Annual,,,
,,Pyramid Scene Parsing Network (PSPNet),PSPNet,,,,,Precision,PREC,,Remote sensing,,,Sentinel-2 imagery,5 days,10m,,
,,,,,,,,Recall,REC,,Meteorological,,,Moisture deficit and surplus,1981-2010,5km,,
,,,,,,,,Validation Loss,Validation Loss,,Topograhic,,,Land cover,2019,30m,,
,,,,,,,,,,,Topograhic,,,USDA WHP map,Annual,270m,,
Hai et al - 2024,ML,LightGBM (Light Gradient Boosting Machine),LightGBM ,No,China ,"Central-South Region of China (Henan, Hubei, Hunan, Guangxi, Guangdong, and Hainan provinces)",Forest fire data from 2001 to 2019 MODIS,Accuracy,ACC,No,Topograhic,Topographic,,Slope,,1 km,Predictive model for forest fire likelihood,
,,,,,,,,Precision,PREC,,Topograhic,Topographic,,Elevation,,1 km,Zoning strategy for forest fire prevention,
,,,,,,,,Recall,REC,,Topograhic,Topographic,,Slope direction,,1 km,,
,,,,,,,,F1 score,F1,,Meteorological,Climate,,Average daily surface temperature,,-,,
,,,,,,,,AUC (Area Under the Curve),AUC,,Meteorological,Climate,,Average daily relative humidity,,-,,
,,,,,,,,,,,Meteorological,Climate,,Daily maximum surface temperature,,-,,
,,,,,,,,,,,Topograhic,Vegetation,,Fractional vegetation cover,,-,,
,,,,,,,,,,,Socio economic,Social and human factors,,Distance from residential area,,1 km,,
,,,,,,,,,,,Socio economic,Social and human factors,,"Gross Domestic Product, Population",,"1:100,000,",,
,,,,,,,,,,,Socio economic,Social and human factors,,Distance from road,,"1:100,000",,
Han et al - 2024 ,ML,Random Forest,RF,No,USA,Upper Colorado River Basin (UCRB),Monitoring Trends in Burn Severity (MTBS),Accuracy,ACC,No,Topograhic,,MTBS,Wildfire information,-,30 m,Predicción de la severidad de los incendios forestales,
,DL,Artificial Neural Network (ANN),ANN,,,,,,,,Meteorological,,gridMet,Evapotranspiration,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Dead fuel moisture (100/1000 h),Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Precipitation,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Temperature (max/min),Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Specific humidity,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Vapor pressure deficit,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Wind speed,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Wind direction,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,Solar radiation,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,SPEI,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,GLDAS,Surface soil moisture,Daily,0.25° × 0.25°,,
,,,,,,,,,,,Remote sensing,,NOAA,NDVI,Daily,0.05° × 0.05°,,
,,,,,,,,,,,Meteorological,,–,Precipitation rate past 30 days,Daily,4 km × 4 km,,
,,,,,,,,,,,Meteorological,,–,No precipitation days past 30 days,Daily,4 km × 4 km,,
Hang et al - 2024 ,ML,AdaBoost,AdaBoost,No,India,"Distrito de Nainital, Uttarakhand, Himalaya Occidental, India",Fire Information for Resource Management System (FIRMS),Curva ROC,ROC,No,Topograhic,,USGS,Elevación,,90m,Mapa de susceptibilidad a incendios forestales,
,ML,Gradient Boosting Machine (GBM),GBM,,,,,AUC,AUC,,Topograhic,,USGS,Pendiente,,90m,,
,ML,XGBoost ,XGBoost ,,,,,F1-Score,F1,,Topograhic,,USGS,Aspecto,,90m,,
,ML,Random Forest,RF,,,,,Precision,PREC,,Meteorological,,IMD,Precipitación anual,,90m,,
,DL,Deep Neural Network (DNN),DNN,,,,,Recuperacion,Recuperacion,,Meteorological,,Giovanni (NASA,Velocidad del viento,,90m,,
,,,,,,,,Coeficiente de correlacion de Matthews,Coeficiente de correlacion de Matthews,,Meteorological,,ISRIC,Índice de aridez,,90m,,
,,,,,,,,Kappa de Cohen,Kappa,,Meteorological,,Giovanni (NASA,Evapotranspiración,,90m,,
,,,,,,,,Precision balanceada,Precision balanceada,,Meteorological,,IMD,Temperatura,,90m,,
,,,,,,,,,,,Socio economic,,Bhukosh,Distancia a las carreteras,,90m,,
He et al - 2024 ,DL,ConvLSTM (Convolutional Neural Networks-Long Short-Term Memory Networks),ConvLSTM,No,China,Seis provincias del este de China,Productos de incendios activos VIIRS y MODIS,Exactitud (Accuracy),ACC,No,Remote sensing,Target,SuomiNPP VIIRS,Hotspots,daily,375 m ,Predicción del riesgo de incendios forestales,
,,,,,,,,Coeficiente Kappa,Kappa,,Remote sensing,Terrestrial,Aqua/MODIS,NDVI,16 days,1 km ,,
,,,,,,,,AUC de las curvas ROC,AUC,,Remote sensing,Terrestrial,Aqua/MODIS,EVI,16 days,1 km,,
,,,,,,,,F1-score,F1,,Remote sensing,Terrestrial,Terra/MODIS,Evapotranspiration,8 days,500 m,,
,,,,,,,,,,,Remote sensing,Terrestrial,Aqua/MODIS,LST Day,8 days,1 km ,,
,,,,,,,,,,,Remote sensing,Terrestrial,Aqua/MODIS,LST Night,8 days,1 km ,,
,,,,,,,,,,,Meteorological,Meteorological,ECMWF/ERA5-Land,2 m temperature,daily,"11,132 m",,
,,,,,,,,,,,Meteorological,Meteorological,ECMWF/ERA5-Land,Surface pressure,daily,"11,132 m",,
,,,,,,,,,,,Meteorological,Meteorological,ECMWF/ERA5-Land,Total precipitation,daily,"11,132 m ",,
,,,,,,,,,,,Meteorological,Meteorological,ECMWF/ERA5-Land,Total solar radiation,daily,"11,132 m",,
,,,,,,,,,,,Meteorological,Meteorological,ECMWF/ERA5-Land,10 m wind speed,daily,"11,132 m ",,
,,,,,,,,,,,Socio economic,Anthropogenic,SEDAC/GPW,Population,Yearly,1 km ,,
,,,,,,,,,,,Socio economic,Anthropogenic,NCSFG,Distance to roads,-,-,,
,,,,,,,,,,,Topograhic,Topographical,SRTM/DEM,Height,Yearly,30 m,,
,,,,,,,,,,,Topograhic,Topographical,SRTM/DEM,Slope,Yearly,30 m ,,
,,,,,,,,,,,Socio economic,Others,NCSFG,Distance to water,Yearly,1 km ,,
,,,,,,,,,,,Remote sensing,Structural,Landsat 8/OLI,NDVIred,Yearly,30 m ,,
,,,,,,,,,,,Remote sensing,Structural,Landsat 8/OLI,NDVIgreen,Yearly,30 m,,
Henderson et al - 2024,ML,Random Forest (RF),RF,No,Australia ,"Zonas afectadas por los incendios forestales del ""Verano Negro"" de 2019-2020 en Australia (Victoria, Nueva Gales del Sur y Territorio de la Capital Australiana)",Datos de puntos de fuego activo del sensor MODIS,Exactitud,ACC,No,Meteorological,,,Elevation,,435 m × 435 m,Mapa de alerta de ocurrencia de incendios,
