Authors,Author full names,Title,Year,Source title,Abstract,Author Keywords,Index Keywords
Unik M.; Sitanggang I.S.; Syaufina L.; Jaya I.N.S.,"Unik, Mitra (59698630600); Sitanggang, Imas Sukaesih (35230685400); Syaufina, Lailan (16319669700); Jaya, I Nengah Surati (26039180400)",Application Of Random Forest Algorithm To Analyze The Confidence Level Of Forest Fire Hotspots In Riau Peatland,2025,Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan,"Forest fires pose a significant challenge in Riau Province, Indonesia, especially in peatland areas. This study employs the Random Forest (RF) algorithm to analyze the confidence levels of hotspots, aiming to predict potential fire occurrences and improve fire management strategies. The research focuses on peatlands spanning 3.86 million ha, using key variables such as NDVI, surface temperature, and peat thickness derived from satellite data. The model achieved an average AUC of 0.732 and a classification accuracy of 70.3%, with medium-confidence hotspots demonstrating the best predictive performance (AUC: 0.707, F1-score: 0.804). However, the model struggled with low-confidence hotspots, reflecting challenges in distinguishing less prominent patterns in the data. Compared to other methods, RF demonstrates strong potential in handling complex environmental datasets, making it a valuable tool for hotspot prediction. This study contributes to understanding forest fire risks in peatlands and provides actionable insights for improving preparedness and mitigation efforts. © 2025 Unik et al.",confidence analysis; forest fire; machine learning; peatland; Random Forest algorithm,
Liu J.; Wang Y.; Lu Y.; Zhao P.; Wang S.; Sun Y.; Luo Y.,"Liu, Jia (57867806400); Wang, Yukuan (57217193361); Lu, Yafeng (56497244700); Zhao, Pengguo (56404969000); Wang, Shunjiu (15823166200); Sun, Yu (57193546640); Luo, Yu (59368518100)",Application Of Remote Sensing And Explainable Artificial Intelligence (xai) For Wildfire Occurrence Mapping In The Mountainous Region Of Southwest China,2024,Remote Sensing,"The ecosystems in the mountainous region of Southwest China are exceptionally fragile and constitute one of the global hotspots for wildfire occurrences. Understanding the complex interactions between wildfires and their environmental and anthropogenic factors is crucial for effective wildfire modeling and management. Despite significant advancements in wildfire modeling using machine learning (ML) methods, their limited explainability remains a barrier to utilizing them for in-depth wildfire analysis. This paper employs Logistic Regression (LR), Random Forest (RF), and Extreme Gradient Boosting (XGBoost) models along with the MODIS global fire atlas dataset (2004–2020) to study the influence of meteorological, topographic, vegetation, and human factors on wildfire occurrences in the mountainous region of Southwest China. It also utilizes Shapley Additive exPlanations (SHAP) values, a method within explainable artificial intelligence (XAI), to demonstrate the influence of key controlling factors on the frequency of fire occurrences. The results indicate that wildfires in this region are primarily influenced by meteorological conditions, particularly sunshine duration, relative humidity (seasonal and daily), seasonal precipitation, and daily land surface temperature. Among local variables, altitude, proximity to roads, railways, residential areas, and population density are significant factors. All models demonstrate strong predictive capabilities with AUC values over 0.8 and prediction accuracies ranging from 76.0% to 95.0%. XGBoost outperforms LR and RF in predictive accuracy across all factor groups (climatic, local, and combinations thereof). The inclusion of topographic factors and human activities enhances model optimization to some extent. SHAP results reveal critical features that significantly influence wildfire occurrences, and the thresholds of positive or negative changes, highlighting that relative humidity, rain-free days, and land use land cover changes (LULC) are primary contributors to frequent wildfires in this region. Based on regional differences in wildfire drivers, a wildfire-risk zoning map for the mountainous region of Southwest China is created. Areas identified as high risk are predominantly located in the Northwestern and Southern parts of the study area, particularly in Yanyuan and Miyi, while areas assessed as low risk are mainly distributed in the Northeastern region. © 2024 by the authors.",driving factor; explainable artificial intelligence; extreme gradient boosting; machine learning; prediction accuracy; random forest; wildfire,Adaptive boosting; Deforestation; Logistic regression; Population dynamics; Driving factors; Explainable artificial intelligence; Extreme gradient boosting; Gradient boosting; Machine-learning; Mountainous regions; Prediction accuracy; Random forests; Southwest China; Wildfire; Risk assessment
Mohajane M.; Costache R.; Karimi F.; Bao Pham Q.; Essahlaoui A.; Nguyen H.; Laneve G.; Oudija F.,"Mohajane, Meriame (57195618368); Costache, Romulus (55888132500); Karimi, Firoozeh (57200226119); Bao Pham, Quoc (57208495034); Essahlaoui, Ali (53876991900); Nguyen, Hoang (57984042300); Laneve, Giovanni (6603065055); Oudija, Fatiha (57195622283)",Application Of Remote Sensing And Machine Learning Algorithms For Forest Fire Mapping In A Mediterranean Area,2021,Ecological Indicators,"Forest fire disaster is currently the subject of intense research worldwide. The development of accurate strategies to prevent potential impacts and minimize the occurrence of disastrous events as much as possible requires modeling and forecasting severe conditions. In this study, we developed five new hybrid machine learning algorithms namely, Frequency Ratio-Multilayer Perceptron (FR-MLP), Frequency Ratio-Logistic Regression (FR-LR), Frequency Ratio-Classification and Regression Tree (FR-CART), Frequency Ratio-Support Vector Machine (FR-SVM), and Frequency Ratio-Random Forest (FR-RF), for mapping forest fire susceptibility in the north of Morocco. To this end, a total of 510 points of historic forest fires as the forest fire inventory map and 10 independent causal factors including elevation, slope, aspect, distance to roads, distance to residential areas, land use, normalized difference vegetation index (NDVI), rainfall, temperature, and wind speed were used. The area under the receiver operating characteristics (ROC) curves (AUC) was computed to assess the effectiveness of the models. The results of conducting proposed models indicated that RF-FR achieved the highest performance (AUC = 0.989), followed by SVM-FR (AUC = 0.959), MLP-FR (AUC = 0.858), CART-FR (AUC = 0.847), LR-FR (AUC = 0.809) in the forecasting of the forest fire. The outcome of this research as a prediction map of forest fire risk areas can provide crucial support for the management of Mediterranean forest ecosystems. Moreover, the results demonstrate that these novel developed hybrid models can increase the accuracy and performance of forest fire susceptibility studies and the approach can be applied to other areas. © 2021 The Author(s)",Forest fire; Hybrid machine learning algorithm; Mediterranean area; Remote sensing,Morocco; Decision trees; Disaster prevention; Ecosystems; Fire hazards; Fires; Forecasting; Land use; Learning algorithms; Logistic regression; Mapping; Remote sensing; Support vector machines; Support vector regression; Wind; Fire mapping; Forest fire disasters; Forest fires; Frequency ratios; Hybrid machine learning algorithm; Machine learning algorithms; Mediterranean areas; Performance; Remote machines; Remote-sensing; accuracy assessment; algorithm; ecological modeling; forest ecosystem; forest fire; machine learning; mapping method; Mediterranean environment; NDVI; remote sensing; support vector machine; Deforestation
Drzymała A.J.; Korzeniewska E.,"Drzymała, Agnieszka Joanna (56003551000); Korzeniewska, Ewa (55310824100)",Application Of The Yolo Algorithm In Fire And Smoke Detection Systems For Early Detection Of Forest Fires In Real Time; [zastosowanie Algorytmu Yolo W Systemach Procesu Detekcji Ognia I Zadymienia Dla Potrzeb Wczesnego Wykrywania Pożarów Leśnych W Czasie Rzeczywistym],2025,Przeglad Elektrotechniczny,"The paper presents a study of the possibilities of using modern machine learning methods based on the YOLO (You Only Look Once) algorithm in the detection and classification of fire hazards based on camera image recognition. The paper aims to develop an automation system for effectively identifying fire and smoke to develop effective protection of forest complexes. The YOLOv8 model was used in the detection process, which turned out to be a highly effective object detection model in real-time. The paper presents the process of preparing image data sets for the construction of the YOLO model. In the final part of the paper, many tests were carried out to assess the effectiveness and precision of the developed fire detection and fire prediction models. The results of these tests confirmed that the detection model works very precisely and can accurately identify fiery and smoky areas in camera images. © 2025 Wydawnictwo SIGMA-NOT. All rights reserved.",Computer vision; Deep learning; Fire detection; YOLO,
Salhi M.S.; Salhi M.; Touti E.; Benzarti F.,"Salhi, M.S. (36028920900); Salhi, M. (58553790200); Touti, E. (55973134800); Benzarti, F. (6507257083)",Artificial Intelligence Optimization For Forest Fire Risk Predicting Applied To Green Environment,2023,Applied Ecology and Environmental Research,"This paper aims to contribute to the field of green environment and meteorological signal processing by exploring methods for analyzing and predicting environmental factors. The focus is on developing an intelligent approach for preventing and predicting wildfires that may arise due to changes in atmospheric temperature or other conditions. The proposed solution involves using machine learning and evolutionary deep learning to create a neural model that can interact with the Internet of Things (IoT) and respond in real-time to minimize potential damage. The experiments were carried out in the forests of Jandouba, Tunisia, using Python software. The results demonstrate that this approach offers significant advantages over the most ranked existing Canadian method (FWI) for fire weather index. © 2023, ALÖKI Kft., Budapest, Hungary.",evolutionary deep learning; fire risk prediction; green environment; IOT technology; meteorological signals; self-organizing neural model,
Kantarcioglu O.; Kocaman S.; Schindler K.,"Kantarcioglu, Omer (58126060400); Kocaman, Sultan (22134793700); Schindler, Konrad (8557497200)",Artificial Neural Networks For Assessing Forest Fire Susceptibility In Türkiye,2023,Ecological Informatics,"Wildfires often threaten natural and economic resources and human lives. Wildfire susceptibility assessments have become essential for efficient disaster management and increasing resilience. In this study, we assessed the forest fire susceptibility in Istanbul Province and Thrace Region, Türkiye using a well-known machine learning technique, Artificial Neural Networks (ANN). Benefiting from freely available Earth Observation datasets such as Sentinel-2 images, Tree Cover Density from European Union (EU) European Environment Agency (EEA) Copernicus Land Monitoring Service, Shuttle Radar Topography Mission (SRTM) data, etc., and a forest inventory with ignition locations recorded over a period of eight years, we utilized a total of 16 independent and one dependent variables. The variables can be categorized as anthropogenic, topographic, vegetation, and hydrological factors. A ratio of 1:2 was preferred for the fire/non-fire location samples. The results show that the ANN exhibited high prediction performance with Area Under the Receiver Operating Characteristic Curve (AUC) value and F-1 score of 0.94 and 0.80, respectively. Based on feature importance analyses, we found that a human-related factor, proximity to forest roads, was the most predictive input variable. The ANN model trained with openly available data (i.e., without forest database) also yielded a high F-1 score, but produced maps with fewer details. Our results confirm that data-driven machine learning methods are promising for regional forest fire susceptibility assessments and can be extended further for other regions by deriving similar parameters from freely available Earth Observation datasets. © 2023 Elsevier B.V.",Artificial neural network; Earth observation; Forest fire susceptibility assessment; Forest inventory; Spectral indices,Istanbul [Turkey]; Thrace; Turkey; artificial neural network; assessment method; disaster management; EOS; European Union; forest fire; machine learning; spectral analysis
Mehmood K.; Anees S.A.; Luo M.; Akram M.; Zubair M.; Khan K.A.; Khan W.R.,"Mehmood, Kaleem (57760239500); Anees, Shoaib Ahmad (57218792755); Luo, Mi (57211516791); Akram, Muhammad (7006875785); Zubair, Muhammad (58254880700); Khan, Khalid Ali (56709204600); Khan, Waseem Razzaq (57804081900)","Assessing Chilgoza Pine (pinus Gerardiana) Forest Fire Severity: Remote Sensing Analysis, Correlations, And Predictive Modeling For Enhanced Management Strategies",2024,"Trees, Forests and People","Forest fires represent a critical global threat to both humans and ecosystems. This study examines the intensity and impacts of Chilgoza (Pinus gerardiana) Pine Forest fires by using advanced remote sensing techniques comprising Normalized Burn Ratio (NBR) and Difference Normalized Burn Ratio (dNBR) analyses based on Landsat 9 datasets. The study highlights the severe effect of these fires, resulting in noteworthy losses of livestock and private properties and widespread damage to 10,156.53 acres of the Chilgoza Pine Forest. A comprehensive variable correlation analysis is conducted to gain deeper insights into the influencing factors causing forest fires. Spearman's Rank Correlation Coefficient was used to assess the association between burnt and unburnt areas and various independent factors. The analysis reveals compelling evidence of significant correlations with forest fire prevalence. This study found moderate negative (-0.532, p < 0.05) and positive (0.513, p < 0.05) correlations with elevation and Land Surface Temperature (LST), respectively, and a weak positive correlation (0.252, p < 0.05) with a Wind Speed (V). To predict forest fire susceptibility and better understand the contributing factors, three machine learning models, Random Forest (RF), XGBoost, and logistic regression, are applied to assess variable importance scores. Among the considered factors, LST is the most critical variable, with consistently high variable importance scores (100 %, 96 %, and 59 %) across all three models. Wind Speed (V) also proved influential in all models, with variable importance scores of 78 %, 83 %, and 61 % for RF, XGBoost, and logistic regression, respectively. Moreover, elevation significantly influences the frequency of forest fires, as evidenced by variable importance scores ranging from 26 % to 100 %. Comparatively, the Random Forest model outperforms XGBoost and Logistic Regression in predicting forest fire vulnerability. During the training stage, the Random Forest (RF) model achieves an impressive classification accuracy of 99.1 %, followed by XGBoost with 94.5 % and Logistic Regression with 85.6 %. On evaluation with the validation dataset, the accuracies remain promising, with RF at 96.4 %, XGBoost at 91.1 %, and Logistic Regression at 84.6 %. Based on the Random Forest model, the identified high-risk sites offer valuable insights for proactive fire management and prevention strategies. This study provides a robust predictive model and a comprehensive understanding of forest fire severity and impacts. Future research should consider climate change scenarios and account for human activities to enhance fire behavior predictions and risk assessment models. © 2024 The Author(s)",Difference normalized burn ratio; Fire risk assessment; Forest fires; Machine learning; Predictive modeling,fire management; forest fire; livestock; pine; remote sensing; risk assessment; vulnerability
"Mupfiga, U; Mutanga, O; Dube, T","Mupfiga, Upenyu; Mutanga, Onisimo; Dube, Timothy",Assessing Drivers Of Vegetation Fire Occurrence In Zimbabwe - Insights From Maxent Modelling And Historical Data Analysis,2025,REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT,"Vegetation fires are known to profoundly impact ecosystem structure and composition, posing threats to ecosystem stability and human safety. In Zimbabwe, uncontrolled fires have been recurrent, yet a rigorous analysis of the key drivers is still lacking. Previous studies in Zimbabwe have predominantly focused on spatio-temporal dynamics of the occurrence of vegetation fire, leaving a gap in understanding the underlying drivers. Accurate prediction of fire occurrence and identification of the major drivers is imperative for effective fire management strategies. The study employs the Maxent model, a machine-learning approach, to analyze historical MODIS fire data alongside bioclimatic, topographic, anthropogenic, and vegetation variables, to assess the likelihood of fire occurrence in Zimbabwe. The research also aims to elucidate the major factors that influence fire occurrence within the region. The independent contributions of predictor variables to the model's goodness of fit are evaluated using a jackknife test, while model accuracy is assessed using the AUC (area under the receiver operating characteristic curve). Results indicate that elevation, precipitation seasonality, temperature annual range and human footprint emerge as the major factors influencing fire occurrence in Zimbabwe. The model demonstrates an acceptable accuracy, with an average AUC of 0.77. This study underscores the utility of the Maxent model in elucidating the contributions of various environmental factors to vegetation fire occurrence. Moreover, the ability of the model to predict the probability of fire occurrence offers valuable insights for fire managers, facilitating the assessment of the spatial vulnerability of vegetation to fire occurrence. Overall, this research contributes to an improved understanding of the drivers of vegetation fires in Zimbabwe and provides a practical tool for enhancing fire management efforts in the region and beyond.",Fire risk; Maxent; MODIS; Probability; Vulnerability; Zimbabwe,FOREST; PATTERNS
Aksoy E.; Kocer A.; Yilmaz İ.; Akçal A.N.; Akpinar K.,"Aksoy, Ercüment (57190574937); Kocer, Abdulkadir (56646173900); Yilmaz, İsmail (58672546000); Akçal, Arif Nihat (55963889500); Akpinar, Kudret (38560917100)",Assessing Fire Risk In Wildland–urban Interface Regions Using A Machine Learning Method And Gis Data: The Example Of Istanbul’s European Side,2023,Fire,"Like many places around the world, the wildland–urban interface areas surrounding urban regions are subject to variable levels of fire risk, threatening the natural habitats they contact. This risk has been assessed by various authors using many different methods and numerical models. Among these approaches, machine learning models have been successfully applied to determine the weights of criteria in risk assessment and risk prediction studies. In Istanbul, data have been collected for areas that are yet to be urbanized but are foreseen to be at risk using geographic information systems (GIS) and remote sensing technologies based on fires that occurred between 2000 and 2021. Here, the land use/land cover (LULC) characteristics of the region were examined, and machine learning techniques, including random forest (RF), extreme gradient boosting (XGB), and light gradient boosting (LGB) models, were applied to classify the factors that affect fires. The RF model yielded the best results, with an accuracy of 0.70, an F1 score of 0.71, and an area under the curve (AUC) value of 0.76. In the RF model, the grouping between factors that initiate fires and factors that influence the spread of fires was distinct, and this distinction was also somewhat observable in the other two models. Risk scores were generated through the multiplication of the variable importance values of the factors and their respective layer values, culminating in a risk map for the region. The distribution of risk is in alignment with the number of fires that have previously occurred, and the risk in wildland–urban interface areas was found to be significantly higher than the risk in wildland areas alone. © 2023 by the authors.",fire risk; GIS; machine learning classification; rural–urban interface; wildland–urban interface,
Sharma L.K.; Gupta R.; Fatima N.,"Sharma, Laxmi Kant (36807307800); Gupta, Rajit (57206767551); Fatima, Naureen (57817053900)",Assessing The Predictive Efficacy Of Six Machine Learning Algorithms For The Susceptibility Of Indian Forests To Fire,2022,International Journal of Wildland Fire,"Increasing numbers and intensity of forest fires indicate that forests have become susceptible to fires in the tropics. We assessed the susceptibility of forests to fire in India by comparing six machine learning (ML) algorithms. We identified the best-suited ML algorithms for triggering a fire prediction model, using minimal parameters related to forests, climate and topography. Specifically, we used Moderate Resolution Imaging Spectroradiometer (MODIS) fire hotspots from 2001 to 2020 as training data. The Area Under the Receiver Operating Characteristics Curve (ROC/AUC) for the prediction rate showed that the Support Vector Machine (SVM) (ROC/AUC = 0.908) and Artificial Neural Network (ANN) (ROC/AUC = 0.903) show excellent performance. By and large, our results showed that north-east and central India and the lower Himalayan regions were highly susceptible to forest fires. Importantly, the significance of this study lies in the fact that it is possibly among the first to predict forest fire susceptibility in the Indian context, using an integrated approach comprising ML, Google Earth Engine (GEE) and Climate Engine (CE).  © 2022 CSIRO. All rights reserved.",artificial neural networks; boosted logistic regression; classification and regression trees; forest fire; k -nearest neighbours; machine learning; MODIS; support vector machine; susceptibility mapping,
"Mallinis, G; Mitsopoulos, I; Beltran, E; Goldammer, JG","Mallinis, Giorgos; Mitsopoulos, Ioannis; Beltran, Esteban; Goldammer, Johann Georg","Assessing Wildfire Risk In Cultural Heritage Properties Using High Spatial And Temporal Resolution Satellite Imagery And Spatially Explicit Fire Simulations: The Case Of Holy Mount Athos, Greece",2016,FORESTS,"Fire management implications and the design of conservation strategies on fire prone landscapes within the UNESCO World Heritage Properties require the application of wildfire risk assessment at landscape level. The objective of this study was to analyze the spatial variation of wildfire risk on Holy Mount Athos in Greece. Mt. Athos includes 20 monasteries and other structures that are threatened by increasing frequency of wildfires. Site-specific fuel models were created by measuring in the field several fuel parameters in representative natural fuel complexes, while the spatial extent of the fuel types was determined using a synergy of high-resolution imagery and high temporal information from medium spatial resolution imagery classified through object-based analysis and a machine learning classifier. The Minimum Travel Time (MTT) algorithm, as it is embedded in FlamMap software, was applied in order to evaluate Burn Probability (BP), Conditional Flame Length (CFL), Fire Size (FS), and Source-Sink Ratio (SSR). The results revealed low burn probabilities for the monasteries; however, nine out of the 20 monasteries have high fire potential in terms of fire intensity, which means that if an ignition occurs, an intense fire is expected. The outputs of this study may be used for decision-making for short-term predictions of wildfire risk at an operational level, contributing to fire suppression and management of UNESCO World Heritage Properties.",image segmentation; RapidEye; Landsat 8; random forests; landscape wildfire behavior; wildfire exposure; UNESCO World Heritage Properties,WILDLAND-URBAN INTERFACE; FUEL TREATMENTS; CLIMATE-CHANGE; SEGMENTATION; VEGETATION; MANAGEMENT; BEHAVIOR; SCIENCE
Tian Y.; Wu Z.; Cui S.; Hong W.; Wang B.; Li M.,"Tian, Yuping (57444083600); Wu, Zechuan (57219663492); Cui, Shuai (58155223800); Hong, Woyuan (59517104600); Wang, Bin (57210246986); Li, Mingze (24070943000)",Assessing Wildfire Susceptibility And Spatial Patterns In Diverse Forest Ecosystems Across China: An Integrated Geospatial Analysis,2025,Journal of Cleaner Production,"Understanding the spatial and temporal distribution characteristics of fires, their driving factors and accurately predicting fire occurrences are essential for effective forest management. Therefore, it is essential to identify and predict areas susceptible to fires, particularly in a country like China, where environmental and social conditions have undergone significant changes. In this study, we analyzed the spatial patterns of fires in distinct forest ecosystems across China. By incorporating RS and GIS technologies, and machine learning methodologies, we examined the factors influencing fires and developed a susceptibility model for different forest ecosystems. To generate fire susceptibility maps, we employed three machine learning models to establish connections between fire occurrences data and 17 predictor variables including climate, topography, vegetation, and human disturbances, namely artificial neural network, random forest, and the extreme gradient boosting models. The results showed that the fire points in different forest ecosystems showed a significant clustering distribution in space, and the driving factors of fire were different. We observed satisfactory performance across all the fire prediction models employed. Specially, extreme gradient boosting model exhibited superior performance with an AUC = 0.82–0.95; accuracy = 0.79–0.87; recall = 0.78–0.89; and F-Measure = 0.78–0.86. Forest fires in Heilongjiang Province are mainly caused by vegetation factors, while in Sichuan, human factors are the primary cause of fire incidents. Topographical factors play a crucial role in influencing the occurrence of forest fires in Shanxi and Fujian. Climate factors play a crucial role in Guangdong and Yunnan. The temporal and spatial patterns of fires in various ecosystems could be analyzed in combination with forest fire factors, providing important scientific information for regional forest fire early warning and monitoring. © 2025 Elsevier Ltd",Fire susceptibility; Forest management; Geospatial analysis; Wildfires; XGBoost,Premixed flames; Driving factors; Fire occurrences; Fire susceptibility; Forest ecosystem; Forest fires; Geo-spatial analysis; Gradient boosting; Spatial patterns; Wildfire; Xgboost; Forest ecology
Masoudian E.; Mirzaei A.; Bagheri H.,"Masoudian, Ehsan (58080642800); Mirzaei, Ali (58045383400); Bagheri, Hossein (56153105600)",Assessing Wildfire Susceptibility In Iran: Leveraging Machine Learning For Geospatial Analysis Of Climatic And Anthropogenic Factors,2025,"Trees, Forests and People","This study investigates the multifaceted factors influencing wildfire risk in Iran, focusing on the interplay between climatic conditions and human activities. Utilizing advanced remote sensing, geospatial information system (GIS) processing techniques such as cloud computing, and machine learning algorithms, this research analyzed the impact of climatic parameters, topographic features, and human-related factors on wildfire susceptibility assessment and prediction in Iran. Multiple scenarios were developed for this purpose based on the data sampling strategy. The findings revealed that climatic elements such as soil moisture, temperature, and humidity significantly contribute to wildfire susceptibility, while human activities—particularly population density and proximity to powerlines—also played a crucial role. Furthermore, the seasonal impact of each parameter was separately assessed during warm and cold seasons. The results indicated that human-related factors, rather than climatic variables, had a more prominent influence during the seasonal analyses. This research provided new insights into wildfire dynamics in Iran by generating high-resolution wildfire susceptibility maps using advanced machine learning classifiers. The generated maps identified high-risk areas, particularly in the central Zagros region, the northeastern Hyrcanian Forest, and the northern Arasbaran forest, highlighting the urgent need for effective fire management strategies. © 2025 The Authors",Climate; Cloud computing; Google earth engine; Human activity; Machine learning; Overpass Turbo; Remote sensing; Wildfire,Iran; anthropogenic source; assessment method; climate change; GIS; machine learning; parameter estimation; remote sensing; seasonal variation
Shimabukuro Y.E.; de Oliveira G.; Pereira G.; Arai E.; Cardozo F.; Dutra A.C.; Mataveli G.,"Shimabukuro, Yosio Edemir (7006392180); de Oliveira, Gabriel (59157746600); Pereira, Gabriel (57197599584); Arai, Egidio (14821958500); Cardozo, Francielle (36619476000); Dutra, Andeise Cerqueira (57208478400); Mataveli, Guilherme (56716199500)",Assessment Of Burned Areas During The Pantanal Fire Crisis In 2020 Using Sentinel-2 Images,2023,Fire,"The Pantanal biome—a tropical wetland area—has been suffering a prolonged drought that started in 2019 and peaked in 2020. This favored the occurrence of natural disasters and led to the 2020 Pantanal fire crisis. The purpose of this work was to map the burned area’s extent during this crisis in the Brazilian portion of the Pantanal biome using Sentinel-2 MSI images. The classification of the burned areas was performed using a machine learning algorithm (Random Forest) in the Google Earth Engine platform. Input variables in the algorithm were the percentiles 10, 25, 50, 75, and 90 of monthly (July to December) mosaics of the shade fraction, NDVI, and NBR images derived from Sentinel-2 MSI images. The results showed an overall accuracy of 95.9% and an estimate of 44,998 km2 burned in the Brazilian portion of the Pantanal, which resulted in severe ecosystem destruction and biodiversity loss in this biome. The burned area estimated in this work was higher than those estimated by the MCD64A1 (35,837 km2), Fire_cci (36,017 km2), GABAM (14,307 km2), and MapBiomas Fogo (23,372 km2) burned area products, which presented lower accuracies. These differences can be explained by the distinct datasets and methods used to obtain those estimates. The proposed approach based on Sentinel-2 images can potentially refine the burned area’s estimation at a regional scale and, consequently, improve the estimate of trace gases and aerosols associated with biomass burning, where global biomass burning inventories are widely known for having biases at a regional scale. Our study brings to light the necessity of developing approaches that aim to improve data and theory about the impacts of fire in regions critically sensitive to climate change, such as the Pantanal, in order to improve Earth systems models that forecast wetland–atmosphere interactions, and the role of these fires on current and future climate change over these regions. © 2023 by the authors.",burned area; NBR; NDVI; Pantanal; Sentinel-2; shade fraction; wetland,
Shao Y.; Wang Z.; Feng Z.; Sun L.; Yang X.; Zheng J.; Ma T.,"Shao, Yakui (57750793400); Wang, Zhichao (57222655089); Feng, Zhongke (8877963600); Sun, Linhao (57205154815); Yang, Xuanhan (57750286300); Zheng, Jun (58733934500); Ma, Tiantian (57955146300)","Assessment Of Chinese Forest Fire Occurrence With Deep Learning, Geographic Information And Multisource Data",2023,Journal of Forestry Research,"Considerable economic losses and ecological damage can be caused by forest fires, and compared to suppression, prevention is a much smarter strategy. Accordingly, this study focuses on developing a novel framework to assess forest fire risks and policy decisions on forest fire management in China. This framework integrated deep learning algorithms, geographic information, and multisource data. Compared to conventional approaches, our framework featured timesaving, easy implementation, and importantly, the use of deep learning that vividly integrates various factors from the environment and human activities. Information on 96,594 forest fire points from 2001 to 2019 was collected on Moderate Resolution Imaging Spectroradiometer (MODIS) fire hotspots from 2001 to 2019 from NASA's Fire Information Resource Management System. The information was classified into factors such as topography, climate, vegetation, and society. The prediction of forest fire risk was generated using a fully connected network model, and spatial autocorrelation used to analyze the spatial aggregation correlation of active fire hotspots in the whole area of China. The results show that high accuracy prediction of fire risks was achieved (accuracy 87.4%, positive predictive value 87.1%, sensitivity 88.9%, area under curve (AUC) 94.1%). Based on this, it was found that Chinese forest fire risk shows significant autocorrelation and agglomeration both in seasons and regions. For example, forest fire risk usually raises dramatically in spring and winter, and decreases in autumn and summer. Compared to the national average, Yunnan Province, Guangdong Province, and the Greater Hinggan Mountains region of Heilongjiang Province have higher fire risks. In contrast, a large region in central China has been recognized as having a long-term, low risk of forest fires. All forest risks in each region were recorded into the database and could contribute to the forest fire prevention. The successful assessment of forest fire risks in this study provides a comprehensive knowledge of fire risks in China over the last 20 years. Deep learning showed its advantage in integrating multiple factors in predicting forest fire risks. This technical framework is expected to be a feasible evaluation tool for the occurrence of forest fires in China. © 2022, Northeast Forestry University.",Deep learning; Forest fires; Management strategies; Risk zoning; Spatial autocorrelation,China; Guangdong; Heilongjiang; Yunnan; Autocorrelation; Decision making; Deep learning; Deforestation; Fire hazards; Forecasting; Information management; Learning algorithms; Losses; NASA; Risk assessment; Spatial variables measurement; Topography; Deep learning; Fire risks; Forest fires; Geographic information; Hotspots; Information data; Management strategies; Multisource data; Risk zoning; Spatial autocorrelations; autocorrelation; database; fire management; forest fire; machine learning; MODIS; prediction; risk assessment; Fires
"Jodhani, KH; Patel, H; Soni, U; Patel, R; Valodara, B; Gupta, N; Patel, A; Omar, PJ","Jodhani, Keval H.; Patel, Haard; Soni, Utsav; Patel, Rishabh; Valodara, Bhairavi; Gupta, Nitesh; Patel, Anant; Omar, Padam Jee","Assessment Of Forest Fire Severity And Land Surface Temperature Using Google Earth Engine: A Case Study Of Gujarat State, India",2024,FIRE ECOLOGY,"Forest fires are a recurring issue in many parts of the world, including India. These fires can have various causes, including human activities (such as agricultural burning, campfires, or discarded cigarettes) and natural factors (such as lightning). The present study presents a comprehensive and advanced methodology for assessing wildfire susceptibility by integrating diverse environmental variables and leveraging cutting-edge machine learning techniques across Gujarat State, India. The primary goal of the study is to utilize Google Earth Engine to compare locations in Gujarat, India, before and after forest fires. High-resolution satellite data were used to assess the amount and types of changes caused by forest fires. The present study meticulously analyzes various environmental variables, i.e., slope orientation, elevation, normalized difference vegetation index (NDVI), drainage density, precipitation, and temperature to understand landscape characteristics and assess wildfire susceptibility. In addition, a sophisticated random forest regression model is used to predict land surface temperature based on a set of environmental parameters. The maps that result depict the geographical distribution of normalized burn ratio and difference normalized burn ratio and land surface temperature forecasts, providing valuable insights into spatial patterns and trends. The findings of this work show that an automated temporal analysis utilizing Google Earth Engine may be used successfully over a wide range of land cover types, providing critical data for future monitoring of such threats. The impact of forest fires can be severe, leading to the loss of biodiversity, damage to ecosystems, and threats to human settlements.",Wildfire susceptibility mapping; LST; Random forest; GEE; Landscape characteristics; Geospatial techniques,SUSCEPTIBILITY; IMPACT; MAPS
